X,Y,Z,B0
0.0,0.0,-0.05,0.045540801702051874
-0.005,-0.02,-0.045,0.045643559505795676
0.0,-0.02,-0.045,0.04565815771384117
0.005,-0.02,-0.045,0.04569098999800603
-0.015,-0.015,-0.045,0.0457422418634991
-0.01,-0.015,-0.045,0.04571619514039608
-0.005,-0.015,-0.045,0.04569999832747626
0.0,-0.015,-0.045,0.04569868926181107
0.005,-0.015,-0.045,0.04571008913629407
0.01,-0.015,-0.045,0.04572544754562147
0.015,-0.015,-0.045,0.045734601591842616
-0.015,-0.01,-0.045,0.04575590631910635
-0.01,-0.01,-0.045,0.04572337856810586
-0.005,-0.01,-0.045,0.04569988290209352
0.0,-0.01,-0.045,0.04569068354394047
0.005,-0.01,-0.045,0.0456937922463385
0.01,-0.01,-0.045,0.04570068845028073
0.015,-0.01,-0.045,0.04570065739630035
-0.02,-0.005,-0.045,0.04576275065403007
-0.015,-0.005,-0.045,0.04572297991225903
-0.01,-0.005,-0.045,0.04568441622617204
-0.005,-0.005,-0.045,0.04565776242703791
0.0,-0.005,-0.045,0.045648246542945414
0.005,-0.005,-0.045,0.04565291806019292
0.01,-0.005,-0.045,0.045661350174862315
0.015,-0.005,-0.045,0.04566038087219817
0.02,-0.005,-0.045,0.0456411413946807
-0.02,0.0,-0.045,0.045707724465956404
-0.015,0.0,-0.045,0.04566816096456158
-0.01,0.0,-0.045,0.04563218192823671
-0.005,0.0,-0.045,0.04560961695314028
0.0,0.0,-0.045,0.04560484063640749
0.005,0.0,-0.045,0.045614041481394065
0.01,0.0,-0.045,0.04562569932921528
0.015,0.0,-0.045,0.04562536561382849
0.02,0.0,-0.045,0.04560319892495221
-0.02,0.005,-0.045,0.04564277300084766
-0.015,0.005,-0.045,0.045613985849154486
-0.01,0.005,-0.045,0.04559052550124427
-0.005,0.005,-0.045,0.04557866530239551
0.0,0.005,-0.045,0.04558098237017781
0.005,0.005,-0.045,0.04559356450026598
0.01,0.005,-0.045,0.04560587670573582
0.015,0.005,-0.045,0.0456047454243427
0.02,0.005,-0.045,0.04558125108271021
-0.015,0.01,-0.045,0.04557428589108378
-0.01,0.01,-0.045,0.045566896141317904
-0.005,0.01,-0.045,0.04556778797302947
0.0,0.01,-0.045,0.04557710055911439
0.005,0.01,-0.045,0.0455912492404009
0.01,0.01,-0.045,0.04560208630279594
0.015,0.01,-0.045,0.04559962559950909
-0.015,0.015,-0.045,0.04555293324212525
-0.01,0.015,-0.045,0.04555833496516724
-0.005,0.015,-0.045,0.04556935494502429
0.0,0.015,-0.045,0.04558374655691793
0.005,0.015,-0.045,0.04559823510110924
0.01,0.015,-0.045,0.04560722336278692
0.015,0.015,-0.045,0.04560438534082127
-0.005,0.02,-0.045,0.04557379269566693
0.0,0.02,-0.045,0.045590944697701266
0.005,0.02,-0.045,0.045605191955755804
0.0,-0.03,-0.04,0.0456792987837224
-0.015,-0.025,-0.04,0.0456319937236132
-0.01,-0.025,-0.04,0.045629233739732246
-0.005,-0.025,-0.04,0.045640097825299195
0.0,-0.025,-0.04,0.04566450007381178
0.005,-0.025,-0.04,0.04569694943723667
0.01,-0.025,-0.04,0.04573057032467011
0.015,-0.025,-0.04,0.04576101799548352
-0.02,-0.02,-0.04,0.04568332354165318
-0.015,-0.02,-0.04,0.04567166052148092
-0.01,-0.02,-0.04,0.04566227154072014
-0.005,-0.02,-0.04,0.045661972053778706
0.0,-0.02,-0.04,0.04567285837512733
0.005,-0.02,-0.04,0.04569217200282846
0.01,-0.02,-0.04,0.04571401934274556
0.015,-0.02,-0.04,0.045732853062578786
0.02,-0.02,-0.04,0.045746263088704185
-0.025,-0.015,-0.04,0.045724648011222155
-0.02,-0.015,-0.04,0.04571613520655277
-0.015,-0.015,-0.04,0.04570198979665733
-0.01,-0.015,-0.04,0.0456883643022341
-0.005,-0.015,-0.04,0.04568082361449526
0.0,-0.015,-0.04,0.04568183506143872
0.005,-0.015,-0.04,0.0456897848111497
0.01,-0.015,-0.04,0.04569989222807974
0.015,-0.015,-0.04,0.04570684516282584
0.02,-0.015,-0.04,0.04570745320414639
0.025,-0.015,-0.04,0.04570108530204678
-0.025,-0.01,-0.04,0.045738806694242906
-0.02,-0.01,-0.04,0.045727334945824684
-0.015,-0.01,-0.04,0.04570989890884442
-0.01,-0.01,-0.04,0.04569234594631743
-0.005,-0.01,-0.04,0.045679918000474475
0.0,-0.01,-0.04,0.045675117637079654
0.005,-0.01,-0.04,0.04567656724631637
0.01,-0.01,-0.04,0.04567966570426997
0.015,-0.01,-0.04,0.04567890308039884
0.02,-0.01,-0.04,0.0456706371413067
0.025,-0.01,-0.04,0.04565449995781899
-0.025,-0.005,-0.04,0.045729973608880814
-0.02,-0.005,-0.04,0.04571524883044435
