X,Y,Z,B0
0.0,0.0,-0.05,0.04457016783062787
-0.005,-0.02,-0.045,0.04431863027652499
0.0,-0.02,-0.045,0.044262114408819525
0.005,-0.02,-0.045,0.04420316552699649
-0.015,-0.015,-0.045,0.044398639852621324
-0.01,-0.015,-0.045,0.044365898054957914
-0.005,-0.015,-0.045,0.04432035917106916
0.0,-0.015,-0.045,0.04427599716343688
0.005,-0.015,-0.045,0.04423290969517285
0.01,-0.015,-0.045,0.04420243849868668
0.015,-0.015,-0.045,0.04418290772510697
-0.015,-0.01,-0.045,0.04439198843823042
-0.01,-0.01,-0.045,0.044368893077301665
-0.005,-0.01,-0.045,0.04433561250891801
0.0,-0.01,-0.045,0.04429477953331513
0.005,-0.01,-0.045,0.044257996251125815
0.01,-0.01,-0.045,0.04422434778803811
0.015,-0.01,-0.045,0.04421090086578053
-0.02,-0.005,-0.045,0.04440052062327198
-0.015,-0.005,-0.045,0.04440738251889044
-0.01,-0.005,-0.045,0.04440133631692713
-0.005,-0.005,-0.045,0.044378164760263905
0.0,-0.005,-0.045,0.04432757199692038
0.005,-0.005,-0.045,0.04428406006003216
0.01,-0.005,-0.045,0.04424992881846552
0.015,-0.005,-0.045,0.044229660399965
0.02,-0.005,-0.045,0.04421905314706844
-0.02,0.0,-0.045,0.04437440979609549
-0.015,0.0,-0.045,0.044398330556826855
-0.01,0.0,-0.045,0.04439439151245125
-0.005,0.0,-0.045,0.04437075820155793
0.0,0.0,-0.045,0.044329454211574686
0.005,0.0,-0.045,0.04427802442787988
0.01,0.0,-0.045,0.044249869982265384
0.015,0.0,-0.045,0.04422852594856503
0.02,0.0,-0.045,0.04421901367781311
-0.02,0.005,-0.045,0.04426793984408818
-0.015,0.005,-0.045,0.0443443629585331
-0.01,0.005,-0.045,0.04435523499621136
-0.005,0.005,-0.045,0.044340401866145365
0.0,0.005,-0.045,0.04429536994135254
0.005,0.005,-0.045,0.04424935626623448
0.01,0.005,-0.045,0.044234594012212025
0.015,0.005,-0.045,0.04426136982395622
0.02,0.005,-0.045,0.04427852898553699
-0.015,0.01,-0.045,0.04428373696488235
-0.01,0.01,-0.045,0.04430994805927323
-0.005,0.01,-0.045,0.04432774365627321
0.0,0.01,-0.045,0.044290450177213087
0.005,0.01,-0.045,0.04422129807761403
0.01,0.01,-0.045,0.04417270873224587
0.015,0.01,-0.045,0.04416749241639722
-0.015,0.015,-0.045,0.044195202458033496
-0.01,0.015,-0.045,0.04425315737614846
-0.005,0.015,-0.045,0.04428431479022221
0.0,0.015,-0.045,0.04427802709917776
0.005,0.015,-0.045,0.0442483538635149
0.01,0.015,-0.045,0.04422270280022082
0.015,0.015,-0.045,0.04417959588707166
-0.005,0.02,-0.045,0.04435891050046853
0.0,0.02,-0.045,0.04436894848007969
0.005,0.02,-0.045,0.04430789379486111
0.0,-0.03,-0.04,0.044329654464912924
-0.015,-0.025,-0.04,0.04435662945338174
-0.01,-0.025,-0.04,0.044362956184399095
-0.005,-0.025,-0.04,0.04433892679239948
0.0,-0.025,-0.04,0.04430966070225132
0.005,-0.025,-0.04,0.044282019928334464
0.01,-0.025,-0.04,0.04427976982624114
0.015,-0.025,-0.04,0.044285582780883376
-0.02,-0.02,-0.04,0.0443680655563657
-0.015,-0.02,-0.04,0.04437398291362728
-0.01,-0.02,-0.04,0.04436229428715888
-0.005,-0.02,-0.04,0.044331308609113905
0.0,-0.02,-0.04,0.04429921867338031
0.005,-0.02,-0.04,0.04427332879298341
0.01,-0.02,-0.04,0.04425989388617781
0.015,-0.02,-0.04,0.04426159201739877
0.02,-0.02,-0.04,0.04426269317947495
-0.025,-0.015,-0.04,0.04433743237508729
-0.02,-0.015,-0.04,0.04438438054316366
-0.015,-0.015,-0.04,0.04437406659931448
-0.01,-0.015,-0.04,0.044351961749033074
-0.005,-0.015,-0.04,0.04432618587829045
0.0,-0.015,-0.04,0.04429009326493548
0.005,-0.015,-0.04,0.04426607801274647
0.01,-0.015,-0.04,0.044247230285001306
0.015,-0.015,-0.04,0.04424809389380599
0.02,-0.015,-0.04,0.044243195676287275
0.025,-0.015,-0.04,0.04425238220825436
-0.025,-0.01,-0.04,0.044359623207320446
-0.02,-0.01,-0.04,0.04437891391107488
-0.015,-0.01,-0.04,0.04437316228303272
-0.01,-0.01,-0.04,0.04435045843426677
-0.005,-0.01,-0.04,0.044332302377757316
0.0,-0.01,-0.04,0.04430552504258875
0.005,-0.01,-0.04,0.04428696592704048
0.01,-0.01,-0.04,0.04426647349151076
0.015,-0.01,-0.04,0.044260429799828985
0.02,-0.01,-0.04,0.04425203424539039
0.025,-0.01,-0.04,0.04426009246055912
