X,Y,Z,B0
0.0,0.0,-0.05,0.044163
-0.005,-0.02,-0.045,0.0439965
0.0,-0.02,-0.045,0.04397
0.005,-0.02,-0.045,0.0439445
-0.015,-0.015,-0.045,0.0441415
-0.01,-0.015,-0.045,0.044078
-0.005,-0.015,-0.045,0.044029
0.0,-0.015,-0.045,0.044001
0.005,-0.015,-0.045,0.043985750000000004
0.01,-0.015,-0.045,0.043990499999999995
0.015,-0.015,-0.045,0.044015
-0.015,-0.01,-0.045,0.0441505
-0.01,-0.01,-0.045,0.044088
-0.005,-0.01,-0.045,0.0440425
0.0,-0.01,-0.045,0.044013
0.005,-0.01,-0.045,0.044004
0.01,-0.01,-0.045,0.044008
0.015,-0.01,-0.045,0.0440385
-0.02,-0.005,-0.045,0.044235500000000004
-0.015,-0.005,-0.045,0.044167000000000005
-0.01,-0.005,-0.045,0.0441115
-0.005,-0.005,-0.045,0.0440714
0.0,-0.005,-0.045,0.044032666666666664
0.005,-0.005,-0.045,0.04402
0.01,-0.005,-0.045,0.0440255
0.015,-0.005,-0.045,0.044046499999999995
0.02,-0.005,-0.045,0.044075500000000004
-0.02,0.0,-0.045,0.04423200000000001
-0.015,0.0,-0.045,0.0441675
-0.01,0.0,-0.045,0.044104000000000004
-0.005,0.0,-0.045,0.04406
0.0,0.0,-0.045,0.044032
0.005,0.0,-0.045,0.04401366666666667
0.01,0.0,-0.045,0.044025
0.015,0.0,-0.045,0.044040499999999996
0.02,0.0,-0.045,0.044061
-0.02,0.005,-0.045,0.044174
-0.015,0.005,-0.045,0.0441495
-0.01,0.005,-0.045,0.044088
-0.005,0.005,-0.045,0.044044799999999995
0.0,0.005,-0.045,0.04400966666666667
0.005,0.005,-0.045,0.0439952
0.01,0.005,-0.045,0.044018
0.015,0.005,-0.045,0.044078
0.02,0.005,-0.045,0.044119
-0.015,0.01,-0.045,0.0441485
-0.01,0.01,-0.045,0.044081999999999996
-0.005,0.01,-0.045,0.044052999999999995
0.0,0.01,-0.045,0.044014
0.005,0.01,-0.045,0.043972500000000005
