X,Y,Z,Bz
0.0,0.0,-50.0,441.63
-5.0,-20.0,-45.0,439.965
0.0,-20.0,-45.0,439.7
5.0,-20.0,-45.0,439.445
-15.0,-15.0,-45.0,441.415
-10.0,-15.0,-45.0,440.78
-5.0,-15.0,-45.0,440.28999999999996
0.0,-15.0,-45.0,440.01
5.0,-15.0,-45.0,439.85749999999996
10.0,-15.0,-45.0,439.905
15.0,-15.0,-45.0,440.15
-15.0,-10.0,-45.0,441.505
-10.0,-10.0,-45.0,440.88
-5.0,-10.0,-45.0,440.42499999999995
0.0,-10.0,-45.0,440.13
5.0,-10.0,-45.0,440.04
10.0,-10.0,-45.0,440.08000000000004
15.0,-10.0,-45.0,440.385
-20.0,-5.0,-45.0,442.355
-15.0,-5.0,-45.0,441.67
-10.0,-5.0,-45.0,441.115
-5.0,-5.0,-45.0,440.714
0.0,-5.0,-45.0,440.32666666666665
5.0,-5.0,-45.0,440.2
10.0,-5.0,-45.0,440.255
15.0,-5.0,-45.0,440.465
20.0,-5.0,-45.0,440.75500000000005
-20.0,0.0,-45.0,442.32000000000005
-15.0,0.0,-45.0,441.675
-10.0,0.0,-45.0,441.04
-5.0,0.0,-45.0,440.59999999999997
0.0,0.0,-45.0,440.32
5.0,0.0,-45.0,440.1366666666667
10.0,0.0,-45.0,440.25
15.0,0.0,-45.0,440.405
20.0,0.0,-45.0,440.61
-20.0,5.0,-45.0,441.73999999999995
-15.0,5.0,-45.0,441.495
-10.0,5.0,-45.0,440.88
-5.0,5.0,-45.0,440.448
0.0,5.0,-45.0,440.0966666666667
5.0,5.0,-45.0,439.952
10.0,5.0,-45.0,440.18
15.0,5.0,-45.0,440.78000000000003
20.0,5.0,-45.0,441.19
-15.0,10.0,-45.0,441.485
-10.0,10.0,-45.0,440.82
-5.0,10.0,-45.0,440.53000000000003
0.0,10.0,-45.0,440.14000000000004
5.0,10.0,-45.0,439.72499999999997
10.0,10.0,-45.0,439.63
15.0,10.0,-45.0,439.945
-15.0,15.0,-45.0,441.16499999999996
-10.0,15.0,-45.0,440.515
-5.0,15.0,-45.0,440.0675
0.0,15.0,-45.0,439.82000000000005
5.0,15.0,-45.0,439.8025
10.0,15.0,-45.0,440.065
15.0,15.0,-45.0,440.1725
-5.0,20.0,-45.0,440.335
0.0,20.0,-45.0,440.12
5.0,20.0,-45.0,439.91
0.0,-30.0,-40.0,440.04999999999995
-15.0,-25.0,-40.0,441.51500000000004
-10.0,-25.0,-40.0,440.94
-5.0,-25.0,-40.0,440.5
0.0,-25.0,-40.0,440.29
5.0,-25.0,-40.0,440.18
10.0,-25.0,-40.0,440.31
15.0,-25.0,-40.0,440.535
-20.0,-20.0,-40.0,442.33
-15.0,-20.0,-40.0,441.71500000000003
-10.0,-20.0,-40.0,441.19
-5.0,-20.0,-40.0,440.755
0.0,-20.0,-40.0,440.51
5.0,-20.0,-40.0,440.425
10.0,-20.0,-40.0,440.51
15.0,-20.0,-40.0,440.805
20.0,-20.0,-40.0,441.2
-25.0,-15.0,-40.0,442.66
-20.0,-15.0,-40.0,442.47
-15.0,-15.0,-40.0,441.835
-10.0,-15.0,-40.0,441.28
-5.0,-15.0,-40.0,440.9
0.0,-15.0,-40.0,440.59
5.0,-15.0,-40.0,440.5175
10.0,-15.0,-40.0,440.575
15.0,-15.0,-40.0,440.9
20.0,-15.0,-40.0,441.245
25.0,-15.0,-40.0,441.795
-25.0,-10.0,-40.0,442.9
-20.0,-10.0,-40.0,442.47999999999996
