X,Y,Z,B0,Bx,By,Bz
0,0,-50,0.04587135,-0.045595721,0.004827594,0.001380359
-5,-20,-45,0.045800604,-0.045523597,0.004843442,0.001355916
0,-20,-45,0.045805861,-0.045529367,0.004825608,0.00140258
5,-20,-45,0.045805297,-0.04552868,0.004814342,0.001444516
-15,-15,-45,0.045785336,-0.045507004,0.004881451,0.001257402
-10,-15,-45,0.045802247,-0.045524947,0.004859075,0.00130937
-5,-15,-45,0.045812214,-0.045536044,0.004837685,0.001350727
0,-15,-45,0.045816619,-0.04554057,0.00482368,0.001396827
5,-15,-45,0.045815881,-0.045539285,0.004816845,0.001437527
10,-15,-45,0.045810236,-0.045532449,0.004815453,0.001478238
15,-15,-45,0.045798357,-0.045519552,0.00481229,0.001517134
-15,-10,-45,0.045796644,-0.045519998,0.004867025,0.001254755
-10,-10,-45,0.045811891,-0.045535852,0.004848416,0.001307054
-5,-10,-45,0.045819894,-0.045544494,0.004831423,0.00134873
0,-10,-45,0.045823103,-0.045547471,0.004821327,0.001392665
5,-10,-45,0.045821476,-0.04554503,0.0048182,0.001429289
10,-10,-45,0.045815694,-0.045537629,0.004821459,0.001468241
15,-10,-45,0.045805611,-0.045525988,0.004823259,0.001508174
-20,-5,-45,0.045784611,-0.04550826,0.004876681,0.001202853
-15,-5,-45,0.045805057,-0.045529185,0.004860159,0.001255161
-10,-5,-45,0.045817417,-0.045542196,0.004841785,0.001304324
-5,-5,-45,0.045824128,-0.045549287,0.004827563,0.001344543
0,-5,-45,0.045825999,-0.0455506,0.00482055,0.001388296
5,-5,-45,0.0458236,-0.045547106,0.004820791,0.00142246
10,-5,-45,0.04581772,-0.045539375,0.004826593,0.001460404
15,-5,-45,0.045808056,-0.045527883,0.004831488,0.001498852
20,-5,-45,0.045791299,-0.045509143,0.004836975,0.001537734
-20,0,-45,0.045790982,-0.045515476,0.00486976,0.001200383
-15,0,-45,0.045808944,-0.045533543,0.004856745,0.001252108
-10,0,-45,0.04582029,-0.045545365,0.004840167,0.001300595
-5,0,-45,0.045824736,-0.045549735,0.004830157,0.001340749
0,0,-45,0.045827101,-0.045551527,0.004823809,0.001382914
5,0,-45,0.045823692,-0.045546785,0.004826222,0.001417301
10,0,-45,0.045818087,-0.045539082,0.004834815,0.001453832
15,0,-45,0.045807501,-0.045526363,0.004842953,0.00149105
20,0,-45,0.045791639,-0.045508168,0.004851805,0.001529972
-20,5,-45,0.045795053,-0.045520164,0.004865157,0.001196577
-15,5,-45,0.045811591,-0.045536597,0.004854312,0.00124736
-10,5,-45,0.045820946,-0.045546025,0.004841143,0.001296935
-5,5,-45,0.045825508,-0.045550493,0.004831294,0.001337298
0,5,-45,0.045825374,-0.045549436,0.004828408,0.001378491
5,5,-45,0.045821244,-0.045543738,0.004832787,0.001413687
10,5,-45,0.045814696,-0.045534772,0.004844496,0.001449726
15,5,-45,0.045803616,-0.045521157,0.004856243,0.00148742
20,5,-45,0.045786593,-0.045501648,0.00486677,0.001525353
-15,10,-45,0.045810343,-0.045536391,0.004846457,0.001239569
-10,10,-45,0.045819089,-0.045544686,0.004838068,0.001289829
-5,10,-45,0.045821681,-0.045546791,0.00483137,0.001331962
0,10,-45,0.045821303,-0.045545172,0.004831165,0.001374397
5,10,-45,0.045816268,-0.045538223,0.004838497,0.001410538
10,10,-45,0.045807929,-0.04552711,0.004853265,0.001447228
15,10,-45,0.045796252,-0.045512599,0.004868003,0.00148412
-15,15,-45,0.045804669,-0.045532123,0.004834801,0.001232167
-10,15,-45,0.045812921,-0.045539437,0.004830804,0.001283255
-5,15,-45,0.045815574,-0.045541116,0.004828328,0.001326953
0,15,-45,0.045813316,-0.045537156,0.004832017,0.001370734
5,15,-45,0.045807757,-0.045529179,0.004843579,0.001408626
10,15,-45,0.045798019,-0.045516234,0.004862136,0.001445874
15,15,-45,0.045784021,-0.045498921,0.004881397,0.001482145
-5,20,-45,0.045803665,-0.045530309,0.004819914,0.001317219
0,20,-45,0.045800532,-0.045524352,0.004832781,0.001366165
5,20,-45,0.045793481,-0.045514244,0.004849944,0.001405194
0,-30,-40,0.045730234,-0.04545407,0.004813362,0.001418946
-15,-25,-40,0.045717818,-0.045435895,0.004895303,0.001316933
-10,-25,-40,0.045733805,-0.045453888,0.004868414,0.001350375
-5,-25,-40,0.045743616,-0.045465915,0.004840373,0.001378319
0,-25,-40,0.045749181,-0.045472841,0.004818464,0.001410934
5,-25,-40,0.04574983,-0.045474116,0.00480441,0.001438522
10,-25,-40,0.04574626,-0.04547054,0.004796286,0.001464903
15,-25,-40,0.045738208,-0.045462349,0.004789316,0.001490302
-20,-20,-40,0.04571037,-0.045428314,0.004909249,0.001267076
-15,-20,-40,0.04573314,-0.045452759,0.004886539,0.001299445
-10,-20,-40,0.045749263,-0.04547066,0.004860849,0.001336542
-5,-20,-40,0.045759369,-0.045482542,0.004836446,0.00136636
0,-20,-40,0.045764584,-0.045488506,0.004819486,0.001401986
5,-20,-40,0.045764617,-0.045488761,0.004808656,0.001431663
10,-20,-40,0.045759348,-0.045482993,0.004804248,0.00146097
15,-20,-40,0.0457508,-0.045473932,0.004799976,0.001489091
20,-20,-40,0.045737138,-0.045459898,0.004795136,0.001513325
-25,-15,-40,0.04569212,-0.045411061,0.004910074,0.001223321
-20,-15,-40,0.045722797,-0.045442646,0.004895925,0.001252992
-15,-15,-40,0.045745959,-0.045467196,0.004875075,0.00128857
-10,-15,-40,0.045761041,-0.045483864,0.004851058,0.001325965
-5,-15,-40,0.045770474,-0.045494622,0.004830218,0.00135818
0,-15,-40,0.045774883,-0.045499403,0.004816654,0.001394272
5,-15,-40,0.045774193,-0.045498467,0.004810136,0.001424378
10,-15,-40,0.045769175,-0.045492708,0.004808046,0.001453805
15,-15,-40,0.045759308,-0.045481833,0.004807658,0.001484457
20,-15,-40,0.045745468,-0.04546717,0.004805737,0.001513019
25,-15,-40,0.045725906,-0.045446641,0.004806945,0.001534475
-25,-10,-40,0.045704066,-0.045424976,0.004895866,0.001209837
-20,-10,-40,0.045734088,-0.045455679,0.004882989,0.001242778
-15,-10,-40,0.045755475,-0.045478129,0.004864457,0.001280757
-10,-10,-40,0.045769762,-0.04549371,0.004842849,0.001319195
-5,-10,-40,0.045778338,-0.045503178,0.004825857,0.001352088
0,-10,-40,0.045781616,-0.045506529,0.004815088,0.001388202
5,-10,-40,0.045780905,-0.045505267,0.004811605,0.001417889
10,-10,-40,0.045775404,-0.045498608,0.004813245,0.001448071
15,-10,-40,0.045765718,-0.045487616,0.004815953,0.001477956
20,-10,-40,0.045751097,-0.045471838,0.004816767,0.001507849
25,-10,-40,0.045730604,-0.045449949,0.004820988,0.001532419
-25,-5,-40,0.045715223,-0.04543781,0.0048832,0.001200571
-20,-5,-40,0.045742675,-0.045465601,0.004872873,0.001235534
-15,-5,-40,0.045762772,-0.045486542,0.004856131,0.001274272
-10,-5,-40,0.045775953,-0.045500657,0.004837516,0.001313965
-5,-5,-40,0.045783249,-0.045508575,0.004823211,0.001346168
0,-5,-40,0.045785707,-0.045510727,0.004815848,0.001382843
5,-5,-40,0.045784537,-0.045508874,0.004814033,0.001411124
10,-5,-40,0.045778679,-0.045501457,0.004819583,0.001441015
15,-5,-40,0.045769012,-0.045490166,0.004825361,0.001470754
20,-5,-40,0.045753541,-0.045473162,0.00482979,0.001500396
25,-5,-40,0.045733228,-0.045451274,0.004835639,0.001525288
-30,0,-40,0.045689231,-0.045413114,0.00487852,0.001164009
-25,0,-40,0.045722867,-0.045446422,0.004876228,0.001194029
-20,0,-40,0.04574925,-0.045472987,0.004867064,0.001230053
-15,0,-40,0.045767149,-0.045491443,0.004852842,0.001269025
-10,0,-40,0.045778953,-0.045503818,0.004837571,0.00130882
-5,0,-40,0.045785328,-0.045510577,0.004825434,0.001341207
0,0,-40,0.045786588,-0.045511299,0.004820641,0.001376483
5,0,-40,0.045784557,-0.045508362,0.004820908,0.001404802
10,0,-40,0.045778448,-0.045500359,0.004829918,0.001433706
15,0,-40,0.045768174,-0.045488217,0.004837964,0.001463536
20,0,-40,0.045753277,-0.045471561,0.004844962,0.001491925
25,0,-40,0.045732407,-0.045448707,0.004854476,0.001517275
30,0,-40,0.045705602,-0.045420352,0.004862074,0.001534238
-25,5,-40,0.045729003,-0.045453761,0.004866779,0.001188159
-20,5,-40,0.045752547,-0.045477007,0.004861612,0.001225622
-15,5,-40,0.04576905,-0.045493801,0.004850017,0.001263886
-10,5,-40,0.045779235,-0.045504239,0.004837465,0.001304408
-5,5,-40,0.045784319,-0.045509484,0.004827462,0.001336526
0,5,-40,0.045784943,-0.045509374,0.004824744,0.001371037
5,5,-40,0.045782079,-0.045505181,0.004828693,0.001400359
10,5,-40,0.045775462,-0.045496357,0.004840613,0.001429282
15,5,-40,0.045764903,-0.045483684,0.004851346,0.001457833
20,5,-40,0.045749773,-0.045466458,0.004861773,0.001485292
25,5,-40,0.045729292,-0.045443723,0.004874378,0.001508844
-25,10,-40,0.045731716,-0.045457842,0.004855145,0.001184051
-20,10,-40,0.045753195,-0.045478714,0.00485302,0.001220481
-15,10,-40,0.045767231,-0.045492782,0.004843759,0.001258635
-10,10,-40,0.045776774,-0.045502238,0.004834512,0.001298806
-5,10,-40,0.045780271,-0.045505514,0.004827947,0.001331272
0,10,-40,0.045780196,-0.045504365,0.004828352,0.001366083
5,10,-40,0.045776754,-0.045499292,0.004835034,0.001395747
10,10,-40,0.045769216,-0.045489253,0.00484976,0.001424356
15,10,-40,0.045758096,-0.04547567,0.004864068,0.001451784
20,10,-40,0.045742662,-0.045457849,0.004877537,0.001478068
25,10,-40,0.045722352,-0.045435045,0.004893199,0.001498909
-25,15,-40,0.04573179,-0.045459725,0.004838562,0.001182482
-20,15,-40,0.045749939,-0.045477037,0.004839012,0.001216558
-15,15,-40,0.045762742,-0.045489444,0.004833914,0.001253953
-10,15,-40,0.0457705,-0.045496797,0.004827772,0.001293341
-5,15,-40,0.045773433,-0.045499047,0.004825415,0.001326369
0,15,-40,0.045772273,-0.045496429,0.004829444,0.001361004
5,15,-40,0.045767689,-0.045489841,0.004839541,0.001390894
10,15,-40,0.045759647,-0.04547889,0.004858091,0.001419463
15,15,-40,0.045748318,-0.045464735,0.004876259,0.001445188
20,15,-40,0.045732083,-0.04544572,0.004893992,0.00146927
25,15,-40,0.045713024,-0.045424015,0.004912253,0.001486322
-20,20,-40,0.045743833,-0.045472897,0.004820773,0.001214094
-15,20,-40,0.045754049,-0.045482095,0.004821495,0.001251113
-10,20,-40,0.045760167,-0.04548738,0.004819618,0.001289359
-5,20,-40,0.045762028,-0.045488081,0.004821868,0.001321836
0,20,-40,0.045759378,-0.045483462,0.004830536,0.001356917
5,20,-40,0.045754196,-0.045475811,0.004845318,0.001385615
10,20,-40,0.045745474,-0.045463771,0.004868245,0.00141212
15,20,-40,0.045733323,-0.045448294,0.004891207,0.001437206
20,20,-40,0.045718075,-0.045430083,0.004911847,0.001457278
-15,25,-40,0.045741165,-0.045471178,0.004802284,0.001250694
-10,25,-40,0.045744935,-0.045473382,0.004807466,0.001287955
-5,25,-40,0.045745252,-0.045472029,0.004814985,0.001318525
0,25,-40,0.045742139,-0.045466474,0.004828773,0.00135131
5,25,-40,0.045735929,-0.045457262,0.004848717,0.001379314
10,25,-40,0.045727081,-0.045444612,0.004876952,0.001403062
15,25,-40,0.045715273,-0.045429147,0.004904117,0.001424218
0,30,-40,0.045719496,-0.045444547,0.004823835,0.00134018
-5,-35,-35,0.045681864,-0.04540478,0.004820741,0.001413872
0,-35,-35,0.045686149,-0.045410569,0.004801755,0.001430954
5,-35,-35,0.045688774,-0.045414556,0.004785577,0.001442368
-15,-30,-35,0.045683333,-0.045401648,0.004878516,0.001362849
-10,-30,-35,0.045692565,-0.045412847,0.004854321,0.001385399
-5,-30,-35,0.04569972,-0.045422401,0.004827997,0.001400099
0,-30,-35,0.045703791,-0.045428078,0.004807267,0.001420015
5,-30,-35,0.045704668,-0.045430081,0.004791743,0.001436535
10,-30,-35,0.045703796,-0.045429246,0.004786642,0.001452113
15,-30,-35,0.045700249,-0.045425446,0.004783434,0.001469803
-25,-25,-35,0.045656951,-0.045373332,0.004909414,0.001309803
-20,-25,-35,0.045678692,-0.04539584,0.004899883,0.001323543
-15,-25,-35,0.045694797,-0.045413759,0.004878758,0.001342611
-10,-25,-35,0.045707509,-0.045428508,0.004853724,0.001366885
-5,-25,-35,0.045714941,-0.045438047,0.004829066,0.001385587
0,-25,-35,0.045718979,-0.045443294,0.00481098,0.001409442
5,-25,-35,0.045719671,-0.045444877,0.004796846,0.001428897
10,-25,-35,0.04571664,-0.045441617,0.00479331,0.001447335
15,-25,-35,0.045710712,-0.045435456,0.004789281,0.001466736
20,-25,-35,0.045702687,-0.04542705,0.004787033,0.001484276
25,-25,-35,0.045692284,-0.045415495,0.004792614,0.001499504
-25,-20,-35,0.045663431,-0.04538111,0.004904282,0.001285214
-20,-20,-35,0.045687867,-0.045406401,0.00489332,0.001302048
-15,-20,-35,0.045706208,-0.04542635,0.004873251,0.001325004
-10,-20,-35,0.045719661,-0.045441629,0.004849554,0.001351882
-5,-20,-35,0.045727788,-0.045451526,0.004827429,0.001373061
0,-20,-35,0.045731879,-0.045456419,0.004812359,0.001399979
5,-20,-35,0.04573191,-0.045457051,0.004800579,0.001420781
10,-20,-35,0.045727907,-0.045452484,0.004799448,0.001441695
15,-20,-35,0.045720292,-0.045444389,0.004797355,0.001462208
20,-20,-35,0.045709853,-0.045433477,0.004795061,0.001482287
25,-20,-35,0.045696683,-0.045419297,0.004798718,0.001498853
-30,-15,-35,0.045639335,-0.045358414,0.004897848,0.00125467
-25,-15,-35,0.045671462,-0.045390594,0.004895943,0.001267334
-20,-15,-35,0.045696986,-0.045417128,0.004882999,0.001286607
-15,-15,-35,0.045716154,-0.045437658,0.004864632,0.001311993
-10,-15,-35,0.045729267,-0.045452387,0.004842439,0.001340554
-5,-15,-35,0.045737666,-0.045462237,0.004822874,0.001363468
0,-15,-35,0.045741068,-0.045466184,0.004810105,0.001390788
5,-15,-35,0.045740621,-0.045465922,0.004801713,0.001413469
10,-15,-35,0.045736411,-0.045460944,0.004802374,0.001434954
15,-15,-35,0.045728218,-0.045452002,0.004802399,0.001456852
20,-15,-35,0.045716412,-0.04543943,0.004802505,0.00147798
25,-15,-35,0.045701035,-0.045423083,0.00480573,0.001494342
30,-15,-35,0.045682412,-0.045403449,0.004811261,0.001503774
-30,-10,-35,0.045647876,-0.045368485,0.004888517,0.001237543
-25,-10,-35,0.045680177,-0.045400854,0.004885759,0.001253162
-20,-10,-35,0.045705564,-0.045427083,0.004873807,0.001274648
